time,sub.conc,replicate,spec
0,0,1,6536.13
10,0,1,6533.01
20,0,1,6543.79
30,0,1,6546.63
40,0,1,6590.65
0,0,2,6610.1
10,0,2,6548.73
20,0,2,6563.53
30,0,2,6616.39
40,0,2,6621.03
0,0,3,6541.3
10,0,3,6514.91
20,0,3,6525.34
30,0,3,6573.88
40,0,3,6613.31
0,50,1,7633.77
10,50,1,9360.34
20,50,1,9963.05
30,50,1,10720.92
40,50,1,11382.7
0,50,2,8798.28
10,50,2,9523.57
20,50,2,10220.53
30,50,2,10931.19
40,50,2,11690.76
0,50,3,7137.16
10,50,3,8882.45
20,50,3,9437.89
30,50,3,10153.65
40,50,3,10867.4
0,100,1,10862.98
10,100,1,11459.26
20,100,1,12466.07
30,100,1,13775.68
40,100,1,14939.38
0,100,2,9953.51
10,100,2,11807.37
20,100,2,13341.66
30,100,2,14571.34
40,100,2,15880.7
0,100,3,10232.94
10,100,3,11522.24
20,100,3,12984.05
30,100,3,14262.56
40,100,3,15534.56
0,200,1,13937.94
10,200,1,16885.13
20,200,1,19541.98
30,200,1,21998.54
40,200,1,24392.82
0,200,2,13492.04
10,200,2,16460.3
20,200,2,19143.5
30,200,2,21510.68
40,200,2,23762.65
0,200,3,16968.1
10,200,3,16825.44
20,200,3,18906.18
30,200,3,21473.49
40,200,3,23570.74
0,300,1,16836.53
10,300,1,22458.63
20,300,1,25122.21
30,300,1,28447.29
40,300,1,31660.7
0,300,2,20820.51
10,300,2,21421.5
20,300,2,25162.21
30,300,2,28434.65
40,300,2,31492.26
0,300,3,20894.14
10,300,3,21490.24
20,300,3,25533.56
30,300,3,28468.14
40,300,3,31693.03
0,400,1,20595.49
10,400,1,26766.27
20,400,1,31919.64
30,400,1,36325.96
40,400,1,40587.02
0,400,2,24919.77
10,400,2,26567.73
20,400,2,31347.9
30,400,2,35701.76
40,400,2,39801.47
0,400,3,22255.11
10,400,3,26479.96
20,400,3,31223.92
30,400,3,35725.34
40,400,3,39411.93
