microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol
L. rhamnosus GG,amc,l-leucine-amc,0,0,1,33980.66,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,0,1,33957.96,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,0,1,33960.55,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,0,1,34575.85,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,40,0,1,34747.77,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,0,0,2,33649.45,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,0,2,33887.62,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,0,2,34167.03,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,0,2,34134.13,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,40,0,2,34113.62,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,0,0,3,33452.68,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,0,3,33951.5,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,0,3,34134.13,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,0,3,34077.44,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,40,0,3,34179.89,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,0,50,1,37225.27,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,50,1,78490.17,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,50,1,114061.52,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,50,1,144895.21,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,40,50,1,174165.14,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,0,50,2,36989.9,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,50,2,80344.33,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,50,2,114532.25,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,50,2,147203.6,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,40,50,2,176990.1,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,0,50,3,37323.56,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,10,50,3,78053.29,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,20,50,3,112392.05,0,0.001
L. rhamnosus GG,amc,l-leucine-amc,30,50,3,146584.89,0,0.001
