microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol,slope,activity
S. ACM-3962,amc,l-leucine-amc,0,0,1,7037.45,0,0.001,0.553165822,0.000553166
S. ACM-3962,amc,l-leucine-amc,0.166666667,0,1,7098.92,0,0.001,0.553438805,
S. ACM-3962,amc,l-leucine-amc,0.333333333,0,1,7032.66,0,0.001,0.55314455,
S. ACM-3962,amc,l-leucine-amc,0.5,0,1,7056.61,0,0.001,0.55325091,
S. ACM-3962,amc,l-leucine-amc,0.666666667,0,1,7071.26,0,0.001,0.553315969,
S. ACM-3962,amc,l-leucine-amc,0,0,2,6899.92,0,0.001,0.552555062,
S. ACM-3962,amc,l-leucine-amc,0.166666667,0,2,6976.69,0,0.001,0.552895991,
S. ACM-3962,amc,l-leucine-amc,0.333333333,0,2,6952.75,0,0.001,0.552789676,
S. ACM-3962,amc,l-leucine-amc,0.5,0,2,6993.11,0,0.001,0.552968911,
S. ACM-3962,amc,l-leucine-amc,0.666666667,0,2,6979.32,0,0.001,0.552907671,
S. ACM-3962,amc,l-leucine-amc,0,0,3,7697.27,0,0.001,0.55609603,
S. ACM-3962,amc,l-leucine-amc,0.166666667,0,3,6945.99,0,0.001,0.552759655,
S. ACM-3962,amc,l-leucine-amc,0.333333333,0,3,6918.52,0,0.001,0.552637663,
S. ACM-3962,amc,l-leucine-amc,0.5,0,3,6914.01,0,0.001,0.552617634,
S. ACM-3962,amc,l-leucine-amc,0.666666667,0,3,6906.04,0,0.001,0.55258224,
S. ACM-3962,amc,l-leucine-amc,0,50,1,8722.7,0,0.001,0.560649884,
S. ACM-3962,amc,l-leucine-amc,0.166666667,50,1,29482.12,0,0.001,0.652840835,
S. ACM-3962,amc,l-leucine-amc,0.333333333,50,1,49417.56,0,0.001,0.741372556,
S. ACM-3962,amc,l-leucine-amc,0.5,50,1,67995.89,0,0.001,0.823877457,
S. ACM-3962,amc,l-leucine-amc,0.666666667,50,1,86933.68,0,0.001,0.907978692,
S. ACM-3962,amc,l-leucine-amc,0,50,2,8455.27,0,0.001,0.559462249,
S. ACM-3962,amc,l-leucine-amc,0.166666667,50,2,30117.31,0,0.001,0.655661664,
S. ACM-3962,amc,l-leucine-amc,0.333333333,50,2,49991.99,0,0.001,0.743923554,
S. ACM-3962,amc,l-leucine-amc,0.5,50,2,68148.69,0,0.001,0.82455603,
S. ACM-3962,amc,l-leucine-amc,0.666666667,50,2,86238.71,0,0.001,0.904892385,
S. ACM-3962,amc,l-leucine-amc,0,50,3,9250.05,0,0.001,0.562991804,
S. ACM-3962,amc,l-leucine-amc,0.166666667,50,3,29410.54,0,0.001,0.652522954,
S. ACM-3962,amc,l-leucine-amc,0.333333333,50,3,47287.64,0,0.001,0.731913748,
S. ACM-3962,amc,l-leucine-amc,0.5,50,3,63601.48,0,0.001,0.804362228,
S. ACM-3962,amc,l-leucine-amc,0.666666667,50,3,80316.37,0,0.001,0.878591739,
S. ACM-3962,amc,l-leucine-amc,0,100,1,8733.72,0,0.001,0.560698823,
S. ACM-3962,amc,l-leucine-amc,0.166666667,100,1,44059.01,0,0.001,0.717575657,
