site.name,std.type,sub.type,time,sub.conc,signal,replicate,buffer.vol,homo.vol,soil.mass,assay.vol,homo.control,sub.control
tyson,amc,l-leucine-amc,40,0,34747.77,1,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,0,34113.62,2,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,0,34179.89,3,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,50,174165.14,1,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,50,176990.1,2,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,50,171808.81,3,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,100,230969.62,1,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,100,235708.32,2,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,100,228935.32,3,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,200,302165.25,1,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,200,298442.81,2,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,200,298530.03,3,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,300,332709.43,1,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,300,334641.09,2,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,300,333253.34,3,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,400,364529.9,1,2,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,400,368590.06,2,1,1,1,1,500,1000
tyson,amc,l-leucine-amc,40,400,373514.31,3,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,0,34747.77,1,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,0,34113.62,2,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,0,34179.89,3,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,50,174165.14,1,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,50,176990.1,2,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,50,171808.81,3,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,100,230969.62,1,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,100,235708.32,2,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,100,228935.32,3,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,200,302165.25,1,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,200,298442.81,2,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,200,298530.03,3,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,300,332709.43,1,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,300,334641.09,2,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,300,333253.34,3,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,400,364529.9,1,2,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,400,368590.06,2,1,1,1,1,500,1000
tyson,pna,l-leucine-pna,40,400,373514.31,3,2,1,1,1,500,1000
