microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol
b,amc,l-leucine-amc,0,0,1,7037.45,0,0.001
b,amc,l-leucine-amc,0.166666667,0,1,7098.92,0,0.001
b,amc,l-leucine-amc,0.333333333,0,1,7032.66,0,0.001
b,amc,l-leucine-amc,0.5,0,1,7056.61,0,0.001
b,amc,l-leucine-amc,0.666666667,0,1,7071.26,0,0.001
b,amc,l-leucine-amc,0,0,2,6899.92,0,0.001
b,amc,l-leucine-amc,0.166666667,0,2,6976.69,0,0.001
b,amc,l-leucine-amc,0.333333333,0,2,6952.75,0,0.001
b,amc,l-leucine-amc,0.5,0,2,6993.11,0,0.001
b,amc,l-leucine-amc,0.666666667,0,2,6979.32,0,0.001
b,amc,l-leucine-amc,0,0,3,7697.27,0,0.001
b,amc,l-leucine-amc,0.166666667,0,3,6945.99,0,0.001
b,amc,l-leucine-amc,0.333333333,0,3,6918.52,0,0.001
b,amc,l-leucine-amc,0.5,0,3,6914.01,0,0.001
b,amc,l-leucine-amc,0.666666667,0,3,6906.04,0,0.001
b,amc,l-leucine-amc,0,50,1,8722.7,0,0.001
b,amc,l-leucine-amc,0.166666667,50,1,29482.12,0,0.001
b,amc,l-leucine-amc,0.333333333,50,1,49417.56,0,0.001
b,amc,l-leucine-amc,0.5,50,1,67995.89,0,0.001
b,amc,l-leucine-amc,0.666666667,50,1,86933.68,0,0.001
b,amc,l-leucine-amc,0,50,2,8455.27,0,0.001
b,amc,l-leucine-amc,0.166666667,50,2,30117.31,0,0.001
b,amc,l-leucine-amc,0.333333333,50,2,49991.99,0,0.001
b,amc,l-leucine-amc,0.5,50,2,68148.69,0,0.001
b,amc,l-leucine-amc,0.666666667,50,2,86238.71,0,0.001
b,amc,l-leucine-amc,0,50,3,9250.05,0,0.001
b,amc,l-leucine-amc,0.166666667,50,3,29410.54,0,0.001
b,amc,l-leucine-amc,0.333333333,50,3,47287.64,0,0.001
b,amc,l-leucine-amc,0.5,50,3,63601.48,0,0.001
b,amc,l-leucine-amc,0.666666667,50,3,80316.37,0,0.001
b,amc,l-leucine-amc,0,100,1,8733.72,0,0.001
b,amc,l-leucine-amc,0.166666667,100,1,44059.01,0,0.001
b,amc,l-leucine-amc,0.333333333,100,1,77427.81,0,0.001
b,amc,l-leucine-amc,0.5,100,1,111079.54,0,0.001
b,amc,l-leucine-amc,0.666666667,100,1,143681.34,0,0.001
b,amc,l-leucine-amc,0,100,2,9293.05,0,0.001
b,amc,l-leucine-amc,0.166666667,100,2,27489.17,0,0.001
b,amc,l-leucine-amc,0.333333333,100,2,45569.23,0,0.001
b,amc,l-leucine-amc,0.5,100,2,64771.27,0,0.001
b,amc,l-leucine-amc,0.666666667,100,2,91578.82,0,0.001
b,amc,l-leucine-amc,0,100,3,10105.98,0,0.001
b,amc,l-leucine-amc,0.166666667,100,3,26617.54,0,0.001
b,amc,l-leucine-amc,0.333333333,100,3,43465.6,0,0.001
b,amc,l-leucine-amc,0.5,100,3,77864.51,0,0.001
b,amc,l-leucine-amc,0.666666667,100,3,110150.6,0,0.001
b,amc,l-leucine-amc,0,200,1,8434.84,0,0.001
b,amc,l-leucine-amc,0.166666667,200,1,68839.47,0,0.001
b,amc,l-leucine-amc,0.333333333,200,1,116377.79,0,0.001
b,amc,l-leucine-amc,0.5,200,1,167710.31,0,0.001
b,amc,l-leucine-amc,0.666666667,200,1,218229.6,0,0.001
b,amc,l-leucine-amc,0,200,2,10305.37,0,0.001
b,amc,l-leucine-amc,0.166666667,200,2,70094.84,0,0.001
b,amc,l-leucine-amc,0.333333333,200,2,121016.9,0,0.001
b,amc,l-leucine-amc,0.5,200,2,174965.48,0,0.001
b,amc,l-leucine-amc,0.666666667,200,2,229318.82,0,0.001
b,amc,l-leucine-amc,0,200,3,11313.61,0,0.001
b,amc,l-leucine-amc,0.166666667,200,3,62803.62,0,0.001
b,amc,l-leucine-amc,0.333333333,200,3,120091,0,0.001
b,amc,l-leucine-amc,0.5,200,3,173450.76,0,0.001
b,amc,l-leucine-amc,0.666666667,200,3,226119.4,0,0.001
b,amc,l-leucine-amc,0,300,1,11623.03,0,0.001
b,amc,l-leucine-amc,0.166666667,300,1,78424.18,0,0.001
b,amc,l-leucine-amc,0.333333333,300,1,143781.65,0,0.001
b,amc,l-leucine-amc,0.5,300,1,208288.9,0,0.001
b,amc,l-leucine-amc,0.666666667,300,1,273761.9,0,0.001
b,amc,l-leucine-amc,0,300,2,17066.13,0,0.001
b,amc,l-leucine-amc,0.166666667,300,2,83014.21,0,0.001
b,amc,l-leucine-amc,0.333333333,300,2,149756.95,0,0.001
b,amc,l-leucine-amc,0.5,300,2,216494,0,0.001
b,amc,l-leucine-amc,0.666666667,300,2,282036.87,0,0.001
b,amc,l-leucine-amc,0,300,3,18178.47,0,0.001
b,amc,l-leucine-amc,0.166666667,300,3,67015.43,0,0.001
