site_name,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control
tyson,amc,l-leucine-amc,0,0,1,3220.5,1
tyson,amc,l-leucine-amc,20,0,1,3358.24,1
tyson,amc,l-leucine-amc,40,0,1,3416.06,1
tyson,amc,l-leucine-amc,60,0,1,3478.05,1
tyson,amc,l-leucine-amc,120,0,1,3640.14,1
tyson,amc,l-leucine-amc,0,0,2,3173.9,1
tyson,amc,l-leucine-amc,20,0,2,3245.04,1
tyson,amc,l-leucine-amc,40,0,2,3301.78,1
tyson,amc,l-leucine-amc,60,0,2,3372.84,1
tyson,amc,l-leucine-amc,120,0,2,3501.89,1
tyson,amc,l-leucine-amc,0,0,3,3209.95,1
tyson,amc,l-leucine-amc,20,0,3,3232.8,1
tyson,amc,l-leucine-amc,40,0,3,3281.93,1
tyson,amc,l-leucine-amc,60,0,3,3357.07,1
tyson,amc,l-leucine-amc,120,0,3,3480.03,1
tyson,amc,l-leucine-amc,0,50,1,41236.27,1
tyson,amc,l-leucine-amc,20,50,1,105959.8,1
tyson,amc,l-leucine-amc,40,50,1,173079.25,1
tyson,amc,l-leucine-amc,60,50,1,240519.2,1
tyson,amc,l-leucine-amc,120,50,1,414553.12,1
tyson,amc,l-leucine-amc,0,50,2,24523.85,1
tyson,amc,l-leucine-amc,20,50,2,63827.13,1
tyson,amc,l-leucine-amc,40,50,2,101956.36,1
tyson,amc,l-leucine-amc,60,50,2,139033,1
tyson,amc,l-leucine-amc,120,50,2,256376.89,1
tyson,amc,l-leucine-amc,0,50,3,8218.99,1
tyson,amc,l-leucine-amc,20,50,3,27421.24,1
tyson,amc,l-leucine-amc,40,50,3,44335.44,1
tyson,amc,l-leucine-amc,60,50,3,64027.85,1
tyson,amc,l-leucine-amc,120,50,3,135802.26,1
tyson,amc,l-leucine-amc,0,100,1,42726.3,1
tyson,amc,l-leucine-amc,20,100,1,102553.9,1
tyson,amc,l-leucine-amc,40,100,1,159844.01,1
tyson,amc,l-leucine-amc,60,100,1,221217,1
tyson,amc,l-leucine-amc,120,100,1,383709.34,1
tyson,amc,l-leucine-amc,0,100,2,20996.73,1
tyson,amc,l-leucine-amc,20,100,2,59229.83,1
tyson,amc,l-leucine-amc,40,100,2,99226.63,1
tyson,amc,l-leucine-amc,60,100,2,142406.04,1
tyson,amc,l-leucine-amc,120,100,2,259459.18,1
tyson,amc,l-leucine-amc,0,100,3,30159.57,1
tyson,amc,l-leucine-amc,20,100,3,82949.6,1
tyson,amc,l-leucine-amc,40,100,3,133248.64,1
tyson,amc,l-leucine-amc,60,100,3,186799.42,1
tyson,amc,l-leucine-amc,120,100,3,337298.009,1
tyson,amc,l-leucine-amc,0,200,1,71878.39,1
tyson,amc,l-leucine-amc,20,200,1,141154.32,1
tyson,amc,l-leucine-amc,40,200,1,210176.2,1
tyson,amc,l-leucine-amc,60,200,1,273033.09,1
tyson,amc,l-leucine-amc,120,100,1,484878.65,1
tyson,amc,l-leucine-amc,0,200,2,27196.22,1
tyson,amc,l-leucine-amc,20,200,2,77049.85,1
tyson,amc,l-leucine-amc,40,200,2,125996.71,1
tyson,amc,l-leucine-amc,60,200,2,175078.57,1
tyson,amc,l-leucine-amc,120,200,2,328012.03,1
tyson,amc,l-leucine-amc,0,200,3,9812.6,1
tyson,amc,l-leucine-amc,20,200,3,34162.27,1
tyson,amc,l-leucine-amc,40,200,3,62390.15,1
tyson,amc,l-leucine-amc,60,200,3,94577.64,1
tyson,amc,l-leucine-amc,120,200,3,212548.64,1
tyson,amc,l-leucine-amc,0,300,1,5303.27,1
tyson,amc,l-leucine-amc,20,300,1,18992.49,1
tyson,amc,l-leucine-amc,40,300,1,44581.42,1
tyson,amc,l-leucine-amc,60,300,1,79386,1
tyson,amc,l-leucine-amc,120,300,1,212554.73,1
tyson,amc,l-leucine-amc,0,300,2,14612.94,1
tyson,amc,l-leucine-amc,20,300,2,56781.84,1
tyson,amc,l-leucine-amc,40,300,2,103214.23,1
tyson,amc,l-leucine-amc,60,300,2,153969.1,1
tyson,amc,l-leucine-amc,120,300,2,308158.59,1
tyson,amc,l-leucine-amc,0,300,3,8131.94,1
tyson,amc,l-leucine-amc,20,300,3,34674.06,1
tyson,amc,l-leucine-amc,40,300,3,67834.16,1
tyson,amc,l-leucine-amc,60,300,3,110774.12,1
tyson,amc,l-leucine-amc,120,300,3,249852.51,1
tyson,amc,l-leucine-amc,0,400,1,32806.34,1
tyson,amc,l-leucine-amc,20,400,1,98070.19,1
tyson,amc,l-leucine-amc,40,400,1,162164.89,1
tyson,amc,l-leucine-amc,60,400,1,218574.26,1
tyson,amc,l-leucine-amc,120,400,1,249852.51,1
tyson,amc,l-leucine-amc,0,400,2,11101.54,1
tyson,amc,l-leucine-amc,20,400,2,49532.87,1
tyson,amc,l-leucine-amc,40,400,2,87877.18,1
tyson,amc,l-leucine-amc,60,400,2,146495.62,1
tyson,amc,l-leucine-amc,120,400,2,300279.71,1
tyson,amc,l-leucine-amc,0,400,3,7534.13,1
tyson,amc,l-leucine-amc,20,400,3,39064.97,1
tyson,amc,l-leucine-amc,40,400,3,86128.78,1
tyson,amc,l-leucine-amc,60,400,3,132338.31,1
tyson,amc,l-leucine-amc,120,400,3,281845.15,1
