site_name,std_type,std_conc,homo_signal,buffer_signal,homo_buffer_signal
tyson,amc,0,1622.52,476.02,1413.8
tyson,amc,0,1554.07,490.22,1418.07
tyson,amc,1000,284096.21,181100.01,242117.28
tyson,amc,1000,,270332.25,333517.9
tyson,amc,2000,390034.65,416369.78,408671.34
tyson,amc,2000,924056.87,595322.31,578886.62
tyson,amc,3000,1205014,664201.62,737228.62
tyson,amc,3000,1137467.37,811627.18,676339.17
tyson,amc,4000,1635836.87,886342.25,1208485.62
tyson,amc,4000,,953394.75,
tyson,pna,0,1622.52,476.02,1413.8
tyson,pna,0,1554.07,490.22,1418.07
tyson,pna,1000,284096.21,181100.01,242117.28
tyson,pna,1000,,270332.25,333517.9
tyson,pna,2000,390034.65,416369.78,408671.34
tyson,pna,2000,924056.87,595322.31,578886.62
tyson,pna,3000,1205014,664201.62,737228.62
tyson,pna,3000,1137467.37,811627.18,676339.17
tyson,pna,4000,1635836.87,886342.25,1208485.62
tyson,pna,4000,,953394.75,
