site.name,std.type,sub.type,time,sub.conc,signal,replicate,buffer.vol,homo.vol,soil.mass,assay.vol,homo.control,sub.control
victor_ashe,amc,l-leucine-amc,240,0,4851.65,1,1,1,1,1,4982.86,2137.63
victor_ashe,amc,l-leucine-amc,240,0,5163.49,2,1,1,1,1,4977.73,439.11
victor_ashe,amc,l-leucine-amc,240,0,5033.46,3,1,1,1,1,4981.99,846.38
victor_ashe,amc,l-leucine-amc,240,50,295234.09,1,1,1,1,1,4982.86,25705.65
victor_ashe,amc,l-leucine-amc,240,50,162860.89,2,1,1,1,1,4977.73,25577.37
victor_ashe,amc,l-leucine-amc,240,50,159400.34,3,1,1,1,1,4981.99,27237.21
victor_ashe,amc,l-leucine-amc,240,100,267712.46,1,1,1,1,1,4982.86,46103.79
victor_ashe,amc,l-leucine-amc,240,100,287410.43,2,1,1,1,1,4977.73,45554.96
victor_ashe,amc,l-leucine-amc,240,100,286145.21,3,1,1,1,1,4981.99,47515.78
victor_ashe,amc,l-leucine-amc,240,200,305730.12,1,1,1,1,1,4982.86,82632.25
victor_ashe,amc,l-leucine-amc,240,200,315393.93,2,1,1,1,1,4977.73,73217.64
victor_ashe,amc,l-leucine-amc,240,200,243331.9,3,1,1,1,1,4981.99,77199.89
victor_ashe,amc,l-leucine-amc,240,400,328253.31,1,1,1,1,1,4982.86,127717.89
